experiment_id,timestamp,model_name,epochs,actual_epochs,batch_size,dropout_rate,learning_rate,optimizer,augmentation,total_seconds,best_train_accuracy,best_val_accuracy,best_train_loss,best_val_loss,history_csv_file
0,20240820-181036,DNN1,350,37,64,0,0.0001,adam,False,49.212872,0.598153829574585,0.25160256028175354,1.7663227319717407,2.852839708328247,results\training_history_0_20240820-181036.csv
1,20240820-181130,DNN2,350,12,64,0,0.0001,adam,False,22.179704,0.49173077940940857,0.2163461595773697,1.8021955490112305,2.9651501178741455,results\training_history_1_20240820-181130.csv
2,20240820-181157,CNN1,350,14,64,0,0.0001,adam,False,72.926756,0.7671538591384888,0.4118589758872986,0.8634350299835205,2.3348336219787598,results\training_history_2_20240820-181157.csv
3,20240820-181315,CNN2,350,10,64,0,0.0001,adam,False,108.325024,0.8280768990516663,0.4246794879436493,0.597932755947113,2.2873311042785645,results\training_history_3_20240820-181315.csv
4,20240820-181508,CNN3,350,10,64,0,0.0001,adam,False,90.940868,0.603538453578949,0.2964743673801422,1.3289307355880737,2.724709987640381,results\training_history_4_20240820-181508.csv
5,20240820-181643,CNN1,350,20,64,0,0.0001,adam,True,127.752583,0.21875,0.17147435247898102,1.4452118873596191,2.900148630142212,results\training_history_5_20240820-181643.csv
6,20240820-181856,CNN1,350,14,64,0.1,0.0001,adam,False,81.022764,0.7436538338661194,0.3910256326198578,0.8985254764556885,2.3380227088928223,results\training_history_6_20240820-181856.csv
7,20240820-182021,CNN1,350,15,64,0.2,0.0001,adam,False,1047.716422,0.7128077149391174,0.3717948794364929,1.0064506530761719,2.331435441970825,results\training_history_7_20240820-182021.csv
8,20240820-183754,CNN1,350,15,64,0.3,0.0001,adam,False,83.490401,0.7082692384719849,0.38621795177459717,0.9990126490592957,2.368870258331299,results\training_history_8_20240820-183754.csv
9,20240820-183922,CNN1,350,17,64,0.4,0.0001,adam,False,91.26711,0.6680769324302673,0.37660256028175354,1.1347166299819946,2.394496440887451,results\training_history_9_20240820-183922.csv
10,20240820-184058,CNN2,350,10,64,0.1,0.0001,adam,False,121.310875,0.8040000200271606,0.4006410241127014,0.6596522927284241,2.435509443283081,results\training_history_10_20240820-184058.csv
11,20240820-184309,CNN2,350,11,64,0.2,0.0001,adam,False,149.335006,0.7823461294174194,0.4535256326198578,0.7300977110862732,2.081385612487793,results\training_history_11_20240820-184309.csv
12,20240820-190547,CNN2,350,10,64,0.3,0.0001,adam,False,110.026017,0.7705384492874146,0.48237180709838867,0.7797116637229919,2.1119472980499268,results\training_history_12_20240820-190547.csv
13,20240820-190742,CNN2,350,10,64,0.4,0.0001,adam,False,164.660304,0.747615396976471,0.4503205120563507,0.8580360412597656,2.206744432449341,results\training_history_13_20240820-190742.csv
14,20240820-191032,CNN3,350,12,64,0.1,0.0001,adam,False,146.922286,0.6194230914115906,0.3205128312110901,1.2426668405532837,2.696533203125,results\training_history_14_20240820-191032.csv
15,20240820-191309,CNN3,350,13,64,0.2,0.0001,adam,False,144.804812,0.6545000076293945,0.36378204822540283,1.135590672492981,2.5832698345184326,results\training_history_15_20240820-191309.csv
16,20240820-191544,CNN3,350,71,64,0.3,0.0001,adam,False,898.82947,0.8815768957138062,0.5721153616905212,0.3916466534137726,1.927157998085022,results\training_history_16_20240820-191544.csv
17,20240820-193053,CNN3,350,14,64,0.4,0.0001,adam,False,154.369873,0.5961154103279114,0.3365384638309479,1.3074283599853516,2.5114169120788574,results\training_history_17_20240820-193053.csv
18,20240820-193337,CNN1,350,19,128,0,0.0001,adam,False,93.800225,0.7396923303604126,0.3878205120563507,1.0183435678482056,2.404738664627075,results\training_history_18_20240820-193337.csv
19,20240820-193521,CNN2,350,11,128,0,0.0001,adam,False,146.682693,0.8045769333839417,0.3782051205635071,0.6826345920562744,2.340013265609741,results\training_history_19_20240820-193521.csv
20,20240820-193758,CNN3,350,12,128,0,0.0001,adam,False,154.728529,0.6163846254348755,0.30128204822540283,1.2785953283309937,2.629448413848877,results\training_history_20_20240820-193758.csv
21,20240820-194043,CNN1,350,13,64,0,0.1,adam,False,110.409332,0.03988461568951607,0.03846153989434242,3.272315502166748,3.265589475631714,results\training_history_21_20240820-194043.csv
22,20240820-194243,CNN1,350,22,64,0,0.01,adam,False,137.844486,0.039500001817941666,0.03846153989434242,3.259672164916992,3.257143497467041,results\training_history_22_20240820-194243.csv
23,20240820-194511,CNN1,350,9,64,0,0.001,adam,False,58.415855,0.8241538405418396,0.39743590354919434,0.6083356738090515,2.5972468852996826,results\training_history_23_20240820-194511.csv
24,20240820-194619,CNN1,350,14,64,0,0.0001,adam,False,105.049905,0.766653835773468,0.38141027092933655,0.8449774384498596,2.3846070766448975,results\training_history_24_20240820-194619.csv
25,20240820-194814,CNN1,350,80,64,0,1e-05,adam,False,705.672724,0.6835769414901733,0.3798076808452606,1.3919850587844849,2.3237414360046387,results\training_history_25_20240820-194814.csv
26,20240820-200007,CNN1,350,18,64,0,0.0001,sgd,False,128.23487,0.042500000447034836,0.03846153989434242,3.257958173751831,3.2580857276916504,results\training_history_26_20240820-200007.csv
27,20240821-002121,CNN1,350,350,64,0,0.0001,adadelta,False,2432.600579,0.057461537420749664,0.05128205195069313,3.2578883171081543,3.2579643726348877,results\training_history_27_20240821-002121.csv
28,20240821-010159,CNN2,350,22,64,0,0.0001,sgd,False,268.291901,0.07030769437551498,0.05929487198591232,3.257946491241455,3.2579970359802246,results\training_history_28_20240821-010159.csv
29,20240821-010632,CNN2,350,260,64,0,0.0001,adadelta,False,30920.993139,0.06819231063127518,0.07051282376050949,3.2579145431518555,3.257965564727783,results\training_history_29_20240821-010632.csv
30,20240821-094217,CNN3,350,29,64,0,0.0001,sgd,False,287.358536,0.048807691782712936,0.0416666679084301,3.2580196857452393,3.2580196857452393,results\training_history_30_20240821-094217.csv
31,20240821-094709,CNN3,350,81,64,0,0.0001,adadelta,False,766.306519,0.09215384721755981,0.07371795177459717,3.258028507232666,3.258030414581299,results\training_history_31_20240821-094709.csv
32,20240821-100001,CNN1,350,37,64,0,0.0001,adam,True,258.142401,0.59375,0.42307692766189575,0.7256765365600586,2.164198398590088,results\training_history_32_20240821-100001.csv
33,20240821-100424,CNN2,350,26,64,0,0.0001,adam,True,229.064671,0.6875,0.4583333432674408,0.6233854293823242,2.2213497161865234,results\training_history_33_20240821-100424.csv
34,20240821-100818,CNN3,350,34,64,0,0.0001,adam,True,250.632842,0.59375,0.36538460850715637,0.6801194548606873,2.5605390071868896,results\training_history_34_20240821-100818.csv
35,20240821-101234,CNN1,350,37,64,0,0.0001,adam,True,267.350572,0.375,0.37339743971824646,1.1431183815002441,2.3157243728637695,results\training_history_35_20240821-101234.csv
36,20240821-101707,CNN2,350,127,64,0,0.0001,adam,True,1222.075086,0.890625,0.745192289352417,0.20837396383285522,0.960109531879425,results\training_history_36_20240821-101707.csv
37,20240821-103735,CNN3,350,33,64,0,0.0001,adam,True,282.860235,0.45982417464256287,0.375,0.9421319961547852,2.4787821769714355,results\training_history_37_20240821-103735.csv
38,20240821-104223,CNN1,350,71,64,0,0.0001,adam,True,581.55614,0.5,0.4326923191547394,0.8757442235946655,2.1755166053771973,results\training_history_38_20240821-104223.csv
39,20240821-105211,CNN2,350,75,64,0,0.0001,adam,True,733.218599,0.75,0.6362179517745972,0.4417921304702759,1.3539921045303345,results\training_history_39_20240821-105211.csv
40,20240821-110430,CNN3,350,29,64,0,0.0001,adam,True,253.297238,0.421875,0.28205129504203796,0.930863618850708,2.5910279750823975,results\training_history_40_20240821-110430.csv
41,20240821-110849,CNN4,350,15,64,0,0.0001,adam,False,276.792756,0.9926922917366028,0.7259615659713745,0.029397746548056602,1.2635548114776611,results\training_history_41_20240821-110849.csv
42,20240821-111331,CNN5,350,10,64,0,0.0001,adam,False,115.41747,0.8149999976158142,0.4535256326198578,0.6514697670936584,2.4400784969329834,results\training_history_42_20240821-111331.csv
43,20240821-111532,CNN4,350,19,128,0,0.0001,adam,False,329.137975,0.9914615154266357,0.7307692170143127,0.03416106849908829,1.2511627674102783,results\training_history_43_20240821-111532.csv
44,20240821-112106,CNN5,350,10,128,0,0.0001,adam,False,106.537163,0.7703846096992493,0.41826921701431274,0.7965317368507385,2.3007919788360596,results\training_history_44_20240821-112106.csv
45,20240821-112259,CNN4,350,9,64,0,0.1,adam,False,166.272947,0.04092307761311531,0.03846153989434242,3.2730343341827393,3.2731189727783203,results\training_history_45_20240821-112259.csv
46,20240821-112550,CNN4,350,12,64,0,0.01,adam,False,222.172615,0.9723461270332336,0.24038460850715637,0.11254291981458664,10.340667724609375,results\training_history_46_20240821-112550.csv
47,20240821-112938,CNN4,350,11,64,0,0.001,adam,False,204.845379,0.993461549282074,0.7483974099159241,0.020050078630447388,1.0783642530441284,results\training_history_47_20240821-112938.csv
48,20240821-113309,CNN4,350,14,64,0,0.0001,adam,False,260.807258,0.9916538596153259,0.7195512652397156,0.0315801277756691,1.146404504776001,results\training_history_48_20240821-113309.csv
49,20240821-113735,CNN4,350,66,64,0,1e-05,adam,False,1229.69644,0.9852692484855652,0.7035256624221802,0.06327474117279053,1.2147284746170044,results\training_history_49_20240821-113735.csv
50,20240821-115811,CNN5,350,25,64,0,0.1,adam,False,278.738624,0.04023076966404915,0.03846153989434242,3.271848201751709,3.264631748199463,results\training_history_50_20240821-115811.csv
51,20240821-120255,CNN5,350,15,64,0,0.01,adam,False,166.708983,0.03865384683012962,0.03846153989434242,3.2597386837005615,3.2577545642852783,results\training_history_51_20240821-120255.csv
52,20240821-120547,CNN5,350,9,64,0,0.001,adam,False,100.836479,0.0364999994635582,0.03846153989434242,3.258349657058716,3.258000135421753,results\training_history_52_20240821-120547.csv
53,20240821-120733,CNN5,350,10,64,0,0.0001,adam,False,115.054646,0.8192692399024963,0.45673078298568726,0.6350842714309692,2.39802885055542,results\training_history_53_20240821-120733.csv
54,20240821-120933,CNN5,350,22,64,0,1e-05,adam,False,250.56838,0.6365769505500793,0.3717948794364929,1.2846720218658447,2.247788906097412,results\training_history_54_20240821-120933.csv
55,20240821-121349,CNN4,350,29,64,0,0.0001,adam,True,386.653527,1.0,0.8878205418586731,0.03133278712630272,0.4096648097038269,results\training_history_55_20240821-121349.csv
56,20240821-122023,CNN5,350,134,64,0,0.0001,adam,True,1249.323088,0.953125,0.7756410241127014,0.08840670436620712,0.9973834156990051,results\training_history_56_20240821-122023.csv
57,20240821-124120,CNN4,350,23,64,0,0.0001,adam,True,283.113289,0.984375,0.9070512652397156,0.06888587772846222,0.3154732882976532,results\training_history_57_20240821-124120.csv
58,20240821-124608,CNN5,350,122,64,0,0.0001,adam,True,1000.351621,0.890625,0.7291666865348816,0.21885091066360474,1.0239536762237549,results\training_history_58_20240821-124608.csv
59,20240821-130259,CNN4,350,82,64,0,0.001,sgd,False,1419.348665,0.9778845906257629,0.7243589758872986,0.08737778663635254,1.2832773923873901,results\training_history_59_20240821-130259.csv
60,20240819-211806,CNN4,350,51,64,0.0,0.001,adadelta,False,1304.180575,0.8323076963424683,0.4903846085071563,0.6363886594772339,1.8507589101791384,results\training_history_60_20240819-211806.csv
61,20240819-213958,CNN5,350,41,64,0.0,0.001,sgd,False,610.797737,0.0740384608507156,0.1570512801408767,3.2578823566436768,3.2578845024108887,results\training_history_61_20240819-213958.csv
62,20240819-215015,CNN5,350,154,64,0.0,0.0001,adadelta,False,2576.760131,0.0720769241452217,0.0576923079788684,3.2579128742218018,3.258021831512451,results\training_history_62_20240819-215015.csv
63,20240819-223317,CNN5,350,350,64,0.0,0.001,adadelta,False,4667.978786,0.1124615371227264,0.1201923042535781,3.257790327072144,3.257879734039306,results\training_history_63_20240819-223317.csv
64,20240819-235112,CNN5,350,258,64,0.0,0.0001,adadelta,True,2268.038233,0.125,0.0544871799647808,1.6289269924163818,3.257996797561645,results\training_history_64_20240819-235112.csv
65,20240820-002905,CNN4,100,48,64,0.5,0.0001,adam,True,577.994356,0.90625,0.9278846383094788,0.1816672831773758,0.2916339039802551,results\training_history_65_20240820-002905.csv
66,20240820-003849,CNN5,100,100,64,0.5,0.0001,adam,True,857.526613,0.53125,0.4887820482254028,0.8202048540115356,1.6545207500457764,results\training_history_66_20240820-003849.csv
67,20240820-005312,CNN5,350,115,64,0.5,0.0001,adam,True,1001.500168,0.8125,0.7115384340286255,0.3288697600364685,1.086419939994812,results\training_history_67_20240820-005312.csv
68,20240820-010959,CNN4,350,34,64,0.5,0.0001,adam,True,409.113366,0.921875,0.9182692170143129,0.1229928731918335,0.2833492755889892,results\training_history_68_20240820-010959.csv
69,20240820-011653,CNN4,350,25,64,0.4,0.0001,adam,True,310.525116,0.90625,0.9246794581413268,0.1608584523200988,0.2606821954250335,results\training_history_69_20240820-011653.csv
70,20240820-012208,CNN5,350,66,64,0.4,0.0001,adam,True,575.394802,0.671875,0.6522436141967773,0.5678254961967468,1.2034856081008911,results\training_history_70_20240820-012208.csv
71,20240820-013149,CNN5,350,100,64,0.3,0.0001,adam,True,854.757491,0.78125,0.7195512652397156,0.3620505928993225,0.9271638989448548,results\training_history_71_20240820-013149.csv
72,20240820-014609,CNN5,350,157,64,0.3,0.0001,adadelta,True,1362.016761,0.125,0.0544871799647808,1.6289610862731934,3.2580387592315674,results\training_history_72_20240820-014609.csv

